MEASURED_IN_DATE,WELL_NAME,INTAKE
2022-06-01,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-02,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-03,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-04,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-05,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-06,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-07,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-08,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-09,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-10,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-11,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-12,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-13,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-14,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-15,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-16,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-17,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-18,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-19,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-20,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-21,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-22,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-23,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-24,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-25,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-26,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-27,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-28,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-29,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-30,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-01,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-02,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-03,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-04,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-05,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-06,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-07,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-08,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-09,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-10,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-11,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-12,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-13,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-14,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-15,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-16,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-17,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-18,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-19,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-20,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-21,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-22,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-23,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-24,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-25,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-26,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-27,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-28,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-29,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-30,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-07-31,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-01,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-02,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-03,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-04,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-05,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-06,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-07,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-08,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-09,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-10,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-11,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-12,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-13,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-14,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-15,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-16,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-17,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-18,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-19,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-20,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-21,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-22,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-23,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-24,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-25,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-26,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-27,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-28,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-29,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-30,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-08-31,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-01,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-02,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-03,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-04,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-05,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-06,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-07,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-08,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-09,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-10,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-11,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-12,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-13,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-14,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-15,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-16,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-17,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-18,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-19,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-20,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-21,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-22,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-23,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-24,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-25,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-09-26,d452a9765262f0ab5f21c05768098a786860b618c0d68c89c5485a7eb0b14251,0
2022-06-01,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-02,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-03,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-04,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-05,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-06,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-07,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-08,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-09,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-10,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-11,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-12,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-13,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-14,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-15,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-16,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-17,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-18,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-19,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-20,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-21,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-22,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-23,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-24,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-25,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-26,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-27,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-28,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-29,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-06-30,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-07-01,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-07-02,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-07-03,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
2022-07-04,9f9fa444aef5d9f7c78fcaa7592a7bdfda2b26a47f306bacc22eaeb00435205c,0
